N;City;Route;Trap code;Name GPS;Date of reading;Entidad que realizo la lectura;Epoca cultivo;Red;Black;RedBlack;Pluviometric_day;Humidity;Maximum_temperature;Observaciones;crop stage
71;Cerete;ceresanpela1;23-686-47;cereSanpela1-22;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Area sembrada en Miaz.;Maiz
157;Cienaga de Oro;cienaga;23-189-165;cienaga-15;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;11;231;242;4,793333333;88,6;32,48666667;Lote sembrado en Maíz.;Maiz
8267;Cotorra;Cotorrra;23-300-310;Cotorrra-11;27/03/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;94;147;241;;;;Trampa en buen Estado.;establecimiento de cultivo
72;Cerete;ceresanpela1;23-686-48;cereSanpela1-23;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Area sembrada en Maíz.;Maiz
73;Cerete;ceresanpela1;23-686-49;cereSanpela1-24;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Area sembrada en Maíz.;Maiz
8471;Lorica;Loorica;23-417-353;Loorica-7;30/04/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;32;200;232;7,073333333;83,26190476;33,01333333;Trampa en buen Estado.;establecimiento de cultivo
515;Cienaga de Oro;cienaga;23-189-163;cienaga-13;25/06/2013;ICA(Instituto Colombiano Agropecuario);veda;9;221;230;4,12;85,22727273;33,47333333;Area sembrada en Maíz.;Maiz
513;Cienaga de Oro;cienaga;23-189-161;cienaga-11;25/06/2013;ICA(Instituto Colombiano Agropecuario);veda;13;214;227;4,12;85,22727273;33,47333333;Area sembrada en Maíz.;Maiz
648;Monteria;monteria;23-001-195;monteria-9;28/06/2013;ICA(Instituto Colombiano Agropecuario);veda;4;223;227;4,593333333;;33,3;Area sembrada en Maíz.;Hortaliza
9330;Cotorra;Cotorrra;23-300-327;Cotorrra-4;30/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;52;175;227;;;;Trampa en buen Estado.;establecimiento de cultivo
387;Cienaga de Oro;cienaga;23-162-152;cienaga-2;18/06/2013;ICA(Instituto Colombiano Agropecuario);veda;10;214;224;8,56;84,75555556;33,79333333;Lote sembrado en Maíz.;Maiz
245;Cerete;ceresanpela2;23-162-52;cereSanpela2-2;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;4;156;160;;82,06521739;;Lote sembrado en Maíz.;Maiz
87;Lorica;lorica;23-182-113;lorica-13;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;20;200;220;3,04;80,02857143;33,48;Lote sembrado en Maíz.;Maiz
7061;Lorica;lorica;23-417-111;lorica-11;30/12/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;20;200;220;0;68,39583333;33,5625;Trampa en buen Estado.;establecimiento de cultivo
250;Cerete;ceresanpela2;23-162-57;cereSanpela2-7;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;93;93;;82,06521739;;Lote sembrado en Maíz.;Maiz
487;Lorica;lorica;23-417-110;lorica-10;14/06/2013;ICA(Instituto Colombiano Agropecuario);veda;0;219;219;4,98;80,75609756;33,04;Area sembrada en Maíz.;Maiz
646;Monteria;monteria;23-001-193;monteria-7;28/06/2013;ICA(Instituto Colombiano Agropecuario);veda;9;210;219;4,593333333;;33,3;Area sembrada en Maíz.;Maiz
255;Cerete;ceresanpela2;23-686-62;cereSanpela2-12;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;62;62;;82,06521739;;Lote sembrado en Maíz.;Maiz
254;Cerete;ceresanpela2;23-686-61;cereSanpela2-11;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;1;54;55;;82,06521739;;Lote cultivado en Maíz.;Maiz
247;Cerete;ceresanpela2;23-162-54;cereSanpela2-4;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;34;34;;82,06521739;;Area cultivada en Maíz.;Maiz
246;Cerete;ceresanpela2;23-162-53;cereSanpela2-3;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;23;23;;82,06521739;;Lote sembrado en Maíz.;Maiz
400;Cienaga de Oro;cienaga;23-189-165;cienaga-15;18/06/2013;ICA(Instituto Colombiano Agropecuario);veda;7;208;215;8,56;84,75555556;33,79333333;Lote sembrado en Maíz.;Maiz
253;Cerete;ceresanpela2;23-686-60;cereSanpela2-10;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;22;22;;82,06521739;;Lote sembrado en Maíz.;Maiz
9176;Lorica;Loorica;23-417-353;Loorica-7;30/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;5;210;215;6,546666667;82,26666667;33,50666667;Trampa en buen Estado.;establecimiento de cultivo
251;Cerete;ceresanpela2;23-162-58;cereSanpela2-8;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;21;21;;82,06521739;;Lote sembrado en Maíz.;Maiz
262;Cerete;ceresanpela2;23-686-69;cereSanpela2-19;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;21;21;;82,06521739;;Lote sembrado en Maíz.;Maiz
645;Monteria;monteria;23-001-192;monteria-6;28/06/2013;ICA(Instituto Colombiano Agropecuario);veda;4;210;214;4,593333333;;33,3;Area sembrada en Maíz.;Maiz
249;Cerete;ceresanpela2;23-570-56;cereSanpela2-6;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;17;17;;82,06521739;;Lote sembrado en Maíz.;Maiz
260;Cerete;ceresanpela2;23-300-67;cereSanpela2-17;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;15;15;;82,06521739;;Lote cultivado en Maíz.;Maiz
267;Cerete;ceresanpela2;23-686-74;cereSanpela2-24;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;15;15;;82,06521739;;Lote sembrado en Maiz.;Maiz
257;Cerete;ceresanpela2;23-686-64;cereSanpela2-14;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;13;13;;82,06521739;;Lote cultivado en Maíz.;Maiz
248;Cerete;ceresanpela2;23-162-55;cereSanpela2-5;28/05/2013;ICA(Instituto Colombiano Agropecuario);veda;2;8;10;;82,06521739;;Lote sembrado en Maíz.;Maiz
